id,structure,informativity,on-topic,correctness,category
418,3,3,4,0,brainstorming
420,4,4,4,0,brainstorming
431,0,4,4,4,closed_qa
432,0,2,2,3,closed_qa
436,1,2,2,2,brainstorming
439,0,4,4,4,closed_qa
442,0,4,4,4,summarization
446,4,3,4,4,closed_qa
450,4,4,4,4,brainstorming
452,0,4,4,4,closed_qa
457,4,4,4,0,brainstorming
460,0,4,4,4,summarization
463,0,1,3,2,summarization
464,4,3,4,0,brainstorming
470,4,4,4,0,brainstorming
473,4,4,4,0,brainstorming
479,4,4,4,4,brainstorming
484,0,4,4,4,closed_qa
494,0,1,4,1,summarization
508,0,3,4,4,summarization
512,4,3,4,3,closed_qa
515,4,4,4,4,closed_qa
535,4,4,4,3,summarization
544,0,2,4,2,summarization
545,3,3,3,0,summarization
546,0,4,4,4,closed_qa
551,0,4,4,4,summarization
552,0,2,4,2,closed_qa
554,0,2,4,4,summarization
558,0,4,4,4,summarization
568,4,4,4,4,closed_qa
572,0,1,1,1,summarization
584,0,3,4,4,closed_qa
586,0,4,4,4,closed_qa
590,0,4,4,4,closed_qa
594,0,4,4,4,closed_qa
602,0,4,4,4,brainstorming
603,0,4,4,0,brainstorming
607,0,4,4,0,brainstorming
620,0,4,4,4,closed_qa
625,0,1,1,1,closed_qa
630,3,4,3,2,closed_qa
637,4,4,4,4,brainstorming
643,4,3,4,4,brainstorming
652,0,4,4,4,closed_qa
660,0,4,4,0,brainstorming
662,0,4,4,4,closed_qa
669,0,3,4,4,summarization
673,3,3,4,4,summarization
677,4,3,4,0,summarization
684,0,4,4,4,brainstorming
685,4,4,4,0,brainstorming
687,0,4,4,0,brainstorming
690,0,3,4,4,closed_qa
693,0,1,1,1,closed_qa
696,4,4,4,4,closed_qa
701,0,4,4,4,summarization
705,3,4,3,4,closed_qa
706,2,2,3,3,summarization
716,0,1,2,4,summarization
717,3,3,4,4,brainstorming
724,2,2,3,2,closed_qa
725,0,4,4,4,summarization
730,0,2,4,4,closed_qa
731,0,2,4,4,closed_qa
733,0,4,4,0,brainstorming
734,4,4,4,4,closed_qa
742,4,4,4,4,closed_qa
743,4,4,4,4,closed_qa
748,4,3,4,3,summarization
749,4,4,4,0,summarization
751,0,4,4,4,summarization
752,0,3,4,0,brainstorming
753,0,2,4,0,brainstorming
754,4,4,4,0,brainstorming
758,4,4,4,4,closed_qa
761,0,1,1,1,closed_qa
762,0,4,4,4,summarization
770,0,4,4,4,closed_qa
775,4,3,4,0,brainstorming
791,0,4,4,4,closed_qa
800,4,4,4,4,closed_qa
801,0,4,4,4,summarization
802,0,4,4,4,summarization
815,0,4,4,4,closed_qa
822,4,4,4,4,brainstorming
825,4,4,4,4,summarization
829,0,2,4,2,summarization
833,2,3,3,0,summarization
844,0,3,4,4,closed_qa
847,4,4,4,0,summarization
851,0,4,4,4,closed_qa
860,0,4,4,4,brainstorming
861,3,3,4,0,brainstorming
862,0,4,4,0,brainstorming
868,0,3,4,4,closed_qa
870,0,4,4,0,brainstorming
871,0,4,4,4,summarization
873,4,4,4,4,closed_qa
888,0,4,4,0,brainstorming
892,3,4,4,4,closed_qa
895,0,4,4,4,summarization
897,0,4,4,3,summarization
900,0,4,4,4,summarization
901,4,3,4,4,closed_qa
902,1,1,4,4,summarization
903,0,4,4,4,summarization
912,4,3,4,0,brainstorming
916,0,4,4,4,closed_qa
918,0,4,4,4,closed_qa
926,3,2,2,4,closed_qa
935,4,4,4,4,brainstorming
937,0,3,4,4,summarization
940,0,4,4,4,brainstorming
941,3,4,4,4,summarization
942,4,3,4,4,brainstorming
950,0,4,4,0,brainstorming
951,4,4,4,4,brainstorming
953,0,2,4,0,closed_qa
956,0,4,4,4,brainstorming
960,0,3,4,0,summarization
961,0,4,4,4,closed_qa
969,0,4,4,4,closed_qa
976,0,4,4,4,summarization
978,0,4,4,0,brainstorming
982,4,3,4,4,summarization
996,0,3,4,4,summarization
1005,4,3,4,4,summarization
1007,4,4,4,4,closed_qa
1009,4,4,4,4,brainstorming
1011,0,4,4,4,brainstorming
1012,0,4,4,4,brainstorming
1018,0,3,4,0,brainstorming
1019,2,2,3,4,summarization
1020,3,3,2,4,summarization
1022,4,4,4,4,brainstorming
1024,3,3,3,0,summarization
1028,4,4,4,0,brainstorming
1029,0,1,2,4,summarization
1032,0,3,4,4,closed_qa
1037,0,4,4,4,closed_qa
1040,4,4,4,4,brainstorming
1042,3,4,4,4,closed_qa
1044,4,4,3,3,summarization
1048,0,4,4,4,closed_qa
1055,0,4,4,0,brainstorming
1059,0,4,4,0,brainstorming
1060,0,4,4,4,brainstorming
1061,4,4,4,0,brainstorming
1062,4,3,4,0,summarization
1064,4,4,4,4,closed_qa
1065,0,4,4,4,closed_qa
1066,4,4,4,4,brainstorming
1070,0,3,4,3,closed_qa
1071,0,4,4,4,closed_qa
1076,4,4,4,4,brainstorming
1077,0,4,4,4,closed_qa
1078,0,2,4,0,brainstorming
1080,4,3,4,0,brainstorming
1082,0,2,4,4,summarization
1103,4,4,4,4,closed_qa
1105,0,4,4,4,brainstorming
1106,4,4,4,4,brainstorming
1108,0,4,4,4,summarization
1122,0,2,3,4,summarization
1123,0,4,4,2,brainstorming
1129,0,4,4,0,brainstorming
1135,0,4,4,4,brainstorming
1138,0,3,3,0,brainstorming
1141,0,4,3,3,summarization
1148,0,4,4,4,closed_qa
1150,0,2,4,0,brainstorming
1156,4,3,4,0,brainstorming
1157,3,4,4,0,summarization
1162,0,4,4,4,closed_qa
1163,0,4,4,4,closed_qa
1167,0,4,4,4,summarization
1169,3,3,4,0,brainstorming
1174,4,3,4,4,brainstorming
1182,4,4,4,4,brainstorming
1188,0,3,4,0,brainstorming
1195,4,2,4,4,summarization
1198,0,3,4,0,brainstorming
1199,0,4,4,4,summarization
1201,2,3,3,0,brainstorming
1205,3,3,4,0,brainstorming
1215,0,4,4,0,brainstorming
1216,0,4,4,4,closed_qa
1221,0,4,4,4,summarization
1224,0,3,4,4,closed_qa
1230,0,3,4,4,summarization
1233,4,2,4,4,summarization
1242,0,4,4,4,closed_qa
1244,3,4,4,4,brainstorming
1250,4,4,4,4,brainstorming
1262,0,3,4,4,closed_qa
1275,0,4,4,4,closed_qa
1276,4,3,4,0,brainstorming
1278,0,4,4,4,brainstorming
1279,0,2,4,1,closed_qa
1282,0,4,4,4,closed_qa
1284,0,3,4,2,summarization
1287,4,2,4,2,brainstorming
1291,0,4,4,4,summarization
1294,0,3,4,3,closed_qa
1302,4,3,4,4,summarization
1303,4,4,4,4,summarization
1323,0,4,4,4,brainstorming
1335,0,3,4,4,summarization
1337,4,4,4,0,summarization
1340,0,4,4,4,closed_qa
1343,0,4,4,4,closed_qa
1345,4,3,4,0,brainstorming
1350,0,4,4,4,brainstorming
1352,0,4,4,4,closed_qa
1356,4,4,4,4,brainstorming
1358,0,4,4,4,closed_qa
1361,4,4,4,4,summarization
1364,3,4,4,4,brainstorming
1368,0,2,2,4,summarization
1372,2,4,4,0,brainstorming
1377,3,3,3,4,summarization
1379,3,2,4,4,summarization
1382,4,4,4,4,closed_qa
1384,0,4,4,0,brainstorming
1398,4,4,4,0,brainstorming
1399,0,1,4,3,summarization
1401,0,3,2,0,summarization
1408,0,4,4,0,summarization
1410,4,4,4,4,brainstorming
1417,4,3,4,4,summarization
1420,0,4,4,4,summarization
1423,4,4,4,3,closed_qa
1431,4,4,4,4,closed_qa
1434,0,4,4,4,closed_qa
1436,0,4,4,4,closed_qa
1450,0,3,4,4,summarization
1453,0,3,4,0,brainstorming
1454,0,4,4,4,brainstorming
1455,0,4,4,4,closed_qa
1456,0,3,3,3,summarization
1457,4,4,4,4,closed_qa
1459,0,2,2,0,brainstorming
1462,4,3,3,4,closed_qa
1466,0,4,4,4,closed_qa
1474,0,4,4,0,brainstorming
1477,0,4,4,3,summarization
1480,0,1,1,1,summarization
1487,0,1,4,0,closed_qa
1492,1,4,4,0,brainstorming
1494,0,4,4,0,brainstorming
1496,0,4,4,0,brainstorming
1497,4,3,4,4,brainstorming
1500,0,1,3,1,summarization
1503,0,4,4,4,summarization
1514,4,4,4,4,closed_qa
1531,0,1,4,4,summarization
1535,0,4,4,4,summarization
1537,0,4,4,4,brainstorming
1538,0,4,4,0,brainstorming
1540,4,4,4,4,brainstorming
1542,4,3,4,4,closed_qa
1549,3,3,4,4,summarization
1550,4,4,4,0,brainstorming
1552,0,2,2,2,summarization
1553,4,4,4,0,brainstorming
1577,4,4,4,0,brainstorming
1579,4,4,4,0,brainstorming
1580,0,3,4,2,summarization
1588,0,4,3,2,closed_qa
1598,0,4,4,4,brainstorming
1601,4,4,4,4,summarization
1605,0,4,4,4,summarization
1609,0,4,4,4,closed_qa
1612,4,4,4,4,brainstorming
1613,4,4,4,4,closed_qa
1616,0,4,4,4,closed_qa
1618,4,3,3,0,brainstorming
1620,0,4,4,0,brainstorming
1621,0,4,4,4,closed_qa
1623,0,4,4,0,brainstorming
1626,0,4,4,4,summarization
1636,0,2,2,2,closed_qa
1637,0,2,2,2,summarization
1640,0,1,4,2,closed_qa
1644,0,3,3,3,brainstorming
1658,0,4,4,4,closed_qa
1659,0,4,4,4,closed_qa
1662,3,3,4,0,brainstorming
1663,3,3,4,4,brainstorming
1669,0,4,4,4,closed_qa
1671,3,4,4,4,brainstorming
1679,0,4,4,0,brainstorming
1684,2,1,2,2,closed_qa
1689,3,4,4,4,closed_qa
1690,0,4,4,4,closed_qa
1691,4,4,4,4,brainstorming
1698,0,2,4,2,summarization
1709,0,3,4,3,closed_qa
1714,0,4,4,4,summarization
1719,0,1,1,1,summarization
1723,0,4,4,1,closed_qa
1727,0,4,4,4,closed_qa
1731,0,4,4,4,summarization
1732,0,4,4,4,summarization
1741,0,4,2,4,closed_qa
1744,0,4,4,4,brainstorming
1745,4,4,4,0,summarization
1748,4,4,4,4,summarization
1760,0,4,4,4,closed_qa
1767,0,4,4,4,closed_qa
1768,0,3,4,4,closed_qa
1772,0,3,4,4,closed_qa
1775,0,4,4,4,closed_qa
1776,0,4,4,4,closed_qa
1777,4,4,4,4,closed_qa
1779,4,4,4,4,brainstorming
1780,0,4,4,4,closed_qa
1788,0,3,4,0,brainstorming
1803,0,4,4,4,closed_qa
1809,0,3,3,0,brainstorming
1816,0,3,3,0,brainstorming
1833,4,3,4,4,summarization
1834,3,3,3,0,brainstorming
1835,0,4,4,4,brainstorming
1840,3,3,3,4,brainstorming
1847,0,4,4,4,summarization
1849,0,4,4,4,closed_qa
1851,0,4,4,4,brainstorming
1853,0,4,4,4,brainstorming
1854,4,3,4,4,summarization
1855,0,4,4,4,brainstorming
1869,0,4,4,0,brainstorming
1878,0,4,4,4,closed_qa
1879,4,3,3,4,summarization
1881,0,4,4,0,brainstorming
1882,0,1,1,1,summarization
1894,0,4,4,4,summarization
1899,1,1,1,1,summarization
1900,0,3,4,4,summarization
1905,0,2,4,3,summarization
1912,0,4,4,4,closed_qa
1914,0,4,4,0,brainstorming
1916,0,4,4,4,summarization
1917,0,4,4,0,brainstorming
1933,0,4,4,3,closed_qa
1942,0,4,4,4,closed_qa
1945,0,4,4,4,summarization
1952,0,4,4,0,brainstorming
1954,0,4,4,4,summarization
1958,0,4,4,4,closed_qa
1959,0,4,4,4,summarization
1964,0,4,4,4,closed_qa
1965,0,4,4,4,closed_qa
1970,0,3,4,4,summarization
1972,0,4,4,4,closed_qa
1973,0,4,4,4,summarization
1975,0,3,4,0,brainstorming
1982,0,4,4,0,summarization
1985,4,4,4,4,brainstorming
1987,0,4,4,4,closed_qa
1996,2,3,2,2,brainstorming
2000,0,4,4,0,brainstorming
2008,3,4,4,4,brainstorming
2010,4,3,4,4,brainstorming
2013,0,4,4,4,brainstorming
2014,4,4,4,4,brainstorming
2016,0,4,4,4,summarization
2020,4,3,4,4,closed_qa
2022,4,3,4,0,summarization
2025,4,4,4,4,summarization
2027,0,2,4,0,brainstorming
2034,3,3,3,4,closed_qa
2036,0,4,4,4,closed_qa
2051,0,2,3,4,summarization
2052,0,2,4,2,summarization
2055,4,3,4,4,closed_qa
2063,4,4,4,4,closed_qa
2068,0,4,4,4,summarization
2073,3,3,4,0,brainstorming
2076,4,4,4,3,closed_qa
2090,4,3,4,0,summarization
2093,4,4,4,4,brainstorming
2097,0,4,2,2,brainstorming
2105,0,4,4,4,brainstorming
2107,0,4,4,4,closed_qa
2115,0,4,4,0,summarization
2118,0,4,4,4,closed_qa
2119,0,1,1,1,closed_qa
2129,4,4,4,0,brainstorming
2134,0,4,4,4,closed_qa
2135,0,4,4,4,brainstorming
2139,0,4,4,0,brainstorming
2144,0,3,3,2,closed_qa
2152,0,4,4,4,closed_qa
2160,4,4,4,4,brainstorming
2165,0,3,4,3,summarization
2168,0,4,4,4,closed_qa
2177,0,4,4,0,brainstorming
2178,0,3,4,3,summarization
2179,0,4,4,4,brainstorming
2183,0,2,4,0,brainstorming
2185,0,4,4,4,summarization
2187,4,4,4,4,closed_qa
2189,0,1,4,4,closed_qa
2191,0,4,4,4,summarization
2206,1,2,4,1,brainstorming
2208,0,3,4,2,brainstorming
2209,4,4,4,0,brainstorming
2214,0,3,3,3,closed_qa
2215,4,4,4,4,closed_qa
2218,4,4,4,4,summarization
2220,0,3,4,4,summarization
2222,0,4,4,0,summarization
2228,0,4,4,4,summarization
2230,0,4,4,4,closed_qa
2240,4,2,4,0,summarization
2242,0,2,2,2,summarization
2244,0,4,4,4,closed_qa
2251,0,2,2,4,closed_qa
2252,0,4,4,4,summarization
2256,0,4,4,4,closed_qa
2266,0,3,4,0,brainstorming
2273,0,4,4,4,summarization
2274,0,4,4,4,summarization
2276,0,4,4,4,closed_qa
2284,0,4,4,4,closed_qa
2288,2,3,3,4,closed_qa
2296,0,3,4,4,summarization
2297,0,4,4,4,closed_qa
2299,0,4,4,3,brainstorming
2303,4,3,4,4,closed_qa
2304,0,4,4,0,brainstorming
2307,0,4,4,4,summarization
2308,0,4,4,4,summarization
2312,0,3,4,0,brainstorming
2316,0,4,4,0,brainstorming
2321,4,4,4,2,brainstorming
2322,4,4,4,0,brainstorming
2323,0,3,4,4,closed_qa
2326,4,4,4,0,brainstorming
2328,0,4,4,4,summarization
2333,0,2,4,0,brainstorming
2334,4,4,4,4,summarization
2339,0,4,4,4,summarization
2346,0,3,4,0,brainstorming
2348,4,3,4,4,summarization
2350,0,4,4,0,brainstorming
2353,0,4,4,4,closed_qa
2358,0,4,4,4,brainstorming
2360,0,1,1,1,closed_qa
2362,4,4,4,4,closed_qa
2365,0,4,4,4,summarization
2366,4,4,4,4,brainstorming
2369,0,4,4,4,closed_qa
2373,1,4,4,4,brainstorming
2375,0,4,4,4,summarization
2377,0,4,4,4,closed_qa
2381,0,4,4,0,brainstorming
2386,0,4,4,4,brainstorming
2391,0,4,4,4,summarization
2400,0,3,4,4,closed_qa
2401,3,2,4,3,summarization
2409,0,4,4,4,summarization
2422,1,4,4,3,brainstorming
2424,0,4,4,4,closed_qa
2426,0,4,4,4,brainstorming
2439,3,4,3,0,brainstorming
2444,0,4,4,4,brainstorming
2448,0,2,4,4,summarization
2452,0,3,4,0,summarization
2457,0,4,4,4,closed_qa
2462,4,3,4,4,closed_qa
2463,0,3,4,3,closed_qa
2464,0,4,4,0,brainstorming
2467,4,4,4,4,closed_qa
2470,0,4,4,0,brainstorming
2474,4,3,4,0,brainstorming
2478,0,4,4,4,summarization
2481,4,3,4,0,brainstorming
2483,4,3,4,4,summarization
2485,4,4,4,4,brainstorming
2486,4,4,4,4,closed_qa
2488,0,4,4,4,closed_qa
2491,0,3,4,3,summarization
2503,0,4,4,4,closed_qa
2504,0,4,4,4,summarization
2505,0,4,4,4,summarization
2506,4,4,4,4,brainstorming
2508,1,1,1,1,summarization
2511,0,4,4,4,brainstorming
2512,0,4,4,4,closed_qa
2515,0,4,4,3,summarization
2518,4,4,4,4,closed_qa
2523,0,4,4,4,brainstorming
2524,0,4,4,0,brainstorming
2525,3,2,3,4,closed_qa
2528,0,0,0,0,closed_qa
2529,0,2,4,4,closed_qa
2535,4,4,4,4,brainstorming
2537,3,2,3,4,closed_qa
2545,0,2,4,4,closed_qa
2550,4,2,4,4,summarization
2555,0,4,4,4,closed_qa
2557,4,3,3,0,brainstorming
2560,4,4,4,4,brainstorming
2564,4,4,4,4,brainstorming
2566,3,4,4,4,closed_qa
2576,0,3,4,4,closed_qa
2577,0,4,4,4,brainstorming
2580,0,4,4,4,closed_qa
2583,0,4,4,4,closed_qa
2593,0,4,3,4,summarization
2598,4,4,4,4,summarization
2605,0,4,4,0,summarization
2609,4,4,4,4,summarization
2614,0,3,4,4,closed_qa
2615,4,4,4,4,brainstorming
2617,0,4,4,3,closed_qa
2621,4,3,4,3,closed_qa
2622,0,4,4,4,closed_qa
2626,0,4,4,0,brainstorming
2632,0,4,4,0,brainstorming
2635,4,4,4,4,brainstorming
2637,0,3,4,4,closed_qa
2639,0,2,4,2,summarization
2645,0,4,4,4,brainstorming
2651,0,3,4,4,summarization
2658,0,4,4,4,summarization
2659,4,4,4,4,brainstorming
2664,0,3,4,4,summarization
2666,0,2,4,0,brainstorming
2668,0,4,4,4,closed_qa
2672,0,4,4,4,closed_qa
2674,4,4,4,4,brainstorming
2677,3,3,4,0,brainstorming
2679,0,4,4,4,summarization
2681,0,4,4,0,brainstorming
2686,0,4,4,3,summarization
2687,4,4,4,4,brainstorming
2696,0,3,4,4,summarization
2698,0,3,3,3,summarization
2718,0,1,1,1,closed_qa
2724,0,4,4,4,summarization
2734,0,4,4,4,closed_qa
2739,0,4,4,4,summarization
2741,3,4,4,0,brainstorming
2748,0,2,2,2,closed_qa
2750,0,1,1,1,summarization
2753,4,3,3,4,summarization
2757,0,4,4,4,closed_qa
2767,0,4,4,0,brainstorming
2769,4,4,4,4,brainstorming
2773,0,4,4,0,brainstorming
2775,4,4,4,4,closed_qa
2783,4,3,4,3,brainstorming
2786,0,4,4,4,closed_qa
2792,0,3,4,4,brainstorming
2794,0,3,4,3,summarization
2795,0,3,3,3,brainstorming
2802,0,3,2,4,closed_qa
2803,0,4,4,4,closed_qa
2805,0,4,4,4,summarization
2807,4,4,4,0,brainstorming
2813,4,4,4,4,summarization
2817,0,3,4,3,closed_qa
2820,4,4,4,0,brainstorming
2822,4,4,4,4,closed_qa
2823,0,2,2,2,brainstorming
2826,4,4,4,4,brainstorming
2830,4,4,4,4,closed_qa
2831,0,4,4,4,summarization
2833,3,3,4,0,summarization
2837,0,4,4,4,closed_qa
2846,0,4,4,4,summarization
2850,0,2,4,3,summarization
2851,3,3,3,4,closed_qa
2855,0,2,4,4,summarization
2859,0,4,4,4,brainstorming
2862,0,4,4,4,closed_qa
2864,0,3,4,4,summarization
2868,4,4,4,4,closed_qa
2870,0,4,4,0,summarization
2871,4,4,4,4,closed_qa
2876,0,4,4,4,summarization
2885,0,2,4,2,summarization
2888,0,3,4,4,summarization
2894,0,3,4,4,closed_qa
2895,0,3,4,3,summarization
2900,0,3,4,4,closed_qa
2905,0,4,4,4,closed_qa
2906,0,3,4,4,summarization
2914,4,4,4,3,brainstorming
2915,0,4,4,4,brainstorming
2920,0,4,4,3,closed_qa
2925,0,4,4,4,summarization
2927,4,4,4,0,brainstorming
2929,3,2,4,0,summarization
2930,4,4,4,0,brainstorming
2931,4,4,4,4,summarization
2933,0,4,4,4,summarization
2938,0,4,4,3,brainstorming
2940,0,4,3,4,closed_qa
2942,0,3,4,3,summarization
2943,0,4,4,3,brainstorming
2948,4,4,4,4,brainstorming
2949,0,3,4,4,brainstorming
2951,4,4,4,0,brainstorming
2957,4,4,4,4,summarization
2959,0,4,4,0,brainstorming
2961,4,3,4,4,closed_qa
2975,0,3,4,4,closed_qa
2976,4,3,4,4,closed_qa
2981,0,3,3,3,summarization
2983,4,3,4,4,closed_qa
2985,0,4,4,4,summarization
2986,0,4,4,0,brainstorming
2993,4,4,4,3,summarization
2994,0,3,3,4,summarization
2997,0,4,4,4,summarization
3003,3,3,4,0,brainstorming
3004,0,4,4,4,summarization
3012,0,4,4,4,closed_qa
3015,2,3,4,4,summarization
3021,0,3,4,4,closed_qa
3024,0,4,4,4,summarization
3031,4,4,4,3,summarization
3035,3,2,4,4,summarization
3037,4,3,4,4,brainstorming
3038,0,4,4,4,closed_qa
3046,0,2,2,2,closed_qa
3047,3,2,4,2,brainstorming
3049,0,4,4,4,closed_qa
3054,0,1,4,1,closed_qa
3065,0,4,4,4,closed_qa
3066,0,3,4,4,closed_qa
3067,0,4,4,4,brainstorming
3071,0,4,4,4,closed_qa
3076,4,3,4,4,summarization
3081,4,3,4,4,summarization
3085,0,4,4,0,summarization
3087,0,4,4,4,summarization
3088,4,4,4,4,closed_qa
3092,4,4,4,0,summarization
3096,0,4,4,4,closed_qa
3097,4,3,4,4,summarization
3104,0,4,4,4,summarization
3108,0,4,4,4,summarization
3112,0,1,1,1,summarization
3118,0,3,4,4,closed_qa
3120,0,4,4,4,closed_qa
3128,2,2,3,4,summarization
3131,0,4,4,0,brainstorming
3136,0,2,4,3,closed_qa
3141,0,2,2,3,summarization
3147,0,1,1,1,closed_qa
3152,4,4,4,4,brainstorming
3159,0,4,4,4,closed_qa
3164,1,4,4,0,brainstorming
3166,2,3,3,0,brainstorming
3167,0,4,4,4,summarization
3171,4,4,4,0,brainstorming
3173,4,4,4,4,summarization
3174,4,4,4,4,summarization
3180,0,1,1,1,closed_qa
3182,0,2,4,4,closed_qa
3183,0,2,4,4,closed_qa
3185,0,4,4,4,closed_qa
3193,0,4,4,4,closed_qa
3198,0,4,4,4,closed_qa
3208,0,4,4,4,summarization
3210,3,4,4,0,brainstorming
3213,0,4,4,4,closed_qa
3216,3,3,4,4,summarization
3218,3,3,4,4,brainstorming
3220,0,4,4,4,closed_qa
3221,0,4,4,0,brainstorming
3226,0,4,4,4,brainstorming
3232,2,3,3,4,summarization
3233,4,3,4,4,brainstorming
3234,0,2,4,2,summarization
3240,0,4,4,4,brainstorming
3261,4,3,4,4,summarization
3263,0,3,1,1,closed_qa
3266,4,4,4,4,closed_qa
3267,0,3,4,0,brainstorming
3268,4,4,4,4,closed_qa
3270,3,4,4,4,summarization
3277,1,2,4,0,brainstorming
3279,4,4,4,4,summarization
3283,4,3,3,4,summarization
3288,3,2,4,0,brainstorming
3301,0,4,4,0,brainstorming
3303,0,4,4,0,brainstorming
3306,0,2,4,4,closed_qa
3307,0,3,4,4,closed_qa
3311,4,4,4,0,brainstorming
3315,0,3,4,4,brainstorming
3317,0,4,4,4,closed_qa
3322,0,4,4,0,brainstorming
3325,0,4,4,4,summarization
3326,4,3,4,0,brainstorming
3332,0,2,4,3,summarization
3334,4,3,4,4,summarization
3338,0,4,4,4,closed_qa
3343,0,4,4,4,brainstorming
3347,4,4,4,4,brainstorming
3349,4,4,4,4,closed_qa
3350,0,4,4,0,closed_qa
3351,0,3,4,4,closed_qa
3353,0,2,4,0,brainstorming
3358,1,3,3,3,brainstorming
3359,4,4,4,4,brainstorming
3376,0,4,4,4,summarization
3380,0,4,4,4,closed_qa
3383,4,4,4,4,summarization
3384,0,4,4,4,brainstorming
3391,0,4,4,4,closed_qa
3395,0,4,4,4,closed_qa
3397,3,2,4,0,summarization
3398,0,3,4,2,closed_qa
3403,0,2,4,2,brainstorming
3406,4,3,4,4,closed_qa
3408,0,2,4,3,summarization
3413,4,4,4,4,brainstorming
3415,0,4,4,4,closed_qa
3419,0,4,4,4,brainstorming
3422,0,3,4,3,summarization
3430,0,4,4,4,brainstorming
3441,0,1,1,1,summarization
3444,0,3,4,4,closed_qa
3453,0,4,4,4,brainstorming
3460,0,2,4,4,summarization
3465,0,4,4,0,brainstorming
3469,4,4,4,4,brainstorming
3478,0,4,2,4,closed_qa
3479,4,4,4,0,brainstorming
3481,0,1,3,2,summarization
3485,0,2,3,3,summarization
3488,0,3,4,4,summarization
3490,0,4,4,2,brainstorming
3491,4,3,4,2,brainstorming
3499,0,4,4,4,closed_qa
3509,3,3,4,4,brainstorming
3511,4,3,3,4,summarization
3516,4,4,4,3,brainstorming
3518,0,4,4,4,closed_qa
3529,0,4,4,4,closed_qa
3531,0,4,4,0,brainstorming
3533,0,4,4,4,closed_qa
3535,0,2,4,4,summarization
3539,0,3,3,3,brainstorming
3547,0,4,4,4,closed_qa
3551,4,4,4,0,brainstorming
3554,4,4,4,0,brainstorming
3556,0,4,4,0,brainstorming
3557,2,2,4,3,summarization
3565,0,4,4,4,brainstorming
3566,0,4,4,4,summarization
